Year,AVERAGE of BOD_Avg,AVERAGE of DO_Avg,,,,
"RIVER NIRA AT SANGAVI, VILLAGE- SANGAVI, TALUKA- PHALTAN, DISTRICT- SATARA.",18.05,,,,,
"DWARKA, U/S OF TARAPITH AT SADHAK BAMDEB GHAT",18,,,,,
RIVER NARMADA AT D/S OF VILL. JAIT,17.85,,,,,
"PAWANA RIVER AT SANGAVIGAON, VILLAGE SANGAVIGAON, TALUKA HAWELI, DISTRICT PUNE.",17.8,,,,,
RIVER KUNDA AT KHARGONE,17.7,,,,,
"BURHIDIHING NEAR DULIAJAN AT D/S, TINSUKIA, ASSAM",17.675,,,,,
RAVI AT CHAMERA RESERVOIR,17.575,,,,,
"CAUVERY AT KRS DAM, BALAMURIKSHETRA, KARNATAKA",17.4,,,,,
"GIRI RIVER D/S CEMENT CORPORATION OF INDIA, RAJBA",17.3,,,,,
"SATLUJ AT U/S HUSSANIWALA - H/W FEROZEPUR, PUNJAB",17.25,,,,,
"RIVER UNPUN NEAR PUNPUN ROAD BRIDGE, PUNPUN",17.225,,,,,
"YAMUNA AT KALANAUR, YAMUNA NAGAR, HARYANA",17.18333333,,,,,
"MUSI D/S AT PRATAPSINGARAM, HYDERABAD",16.95,,,,,
"SUSWA RIVER AT MOTHRAWALA, DEHRADUN",16.9125,,,,,
"BETWA AT NAYAPUR D/S MANDIDEEP INDL. AREA NO.1, DI",16.9,,,,,
"BHADRA AT D/S OF BHADRAVATHI,",16.8,,,,,
"INDRAVATI RIVER A/C DANTEWADA RIVER, NELSONNAR, DANTEWADA.",16.575,,,,,
"LIDDER NALLAH AT YANEER, D/S OF PHALGUM",16.57,,,,,
"U/S OF KATHAKAL AT MATIJURI, HAILAKANDI",16.5,,,,,
"GODAVARI RIVER AT NANDUR MADHMESHWAR DAM, VILLAGE NANDUR, TALUKA NIPHAD, DISTRICT NASHIK.",16.5,,,,,
"HARBORA RIVER AT NARKATIAGANJ, BIHAR",16.45,,,,,
"RIHAND AT RENUKUT D/S, U.P.",16.35,,,,,
"CAUVERY AT PALLIPPALAYAM, TAMIL NADU",16.31666667,,,,,
"RIVER KUNDU, NANDYAL, NEAR OVER BDG., KURNOOL, A.P",16.25,,,,,
BHADRA AT U/S OF MPM,16.25,,,,,
RIVER LUKHA AT KHADDUM,16.11666667,,,,,
RIVER LAKSHMANTIRTHA AT D/S OF KATTEMALAVADI,16.01666667,,,,,
SATLUJ U/S RAMPUR,16,,,,,
"PURNA AT DHUPESHWAR, MALKAPUR, AKOLA",16,,,,,
HASDEO AT U/S OF CHAMPA,16,,,,,
ARKAVATHI D/S OF KANAKAPURA TOWN,16,,,,,
NARMADA AT SETHANIGHAT M.P.,15.925,,,,,
