Year,AVERAGE of BOD_Avg,AVERAGE of DO_Avg,,,,
SWAN RIVER D/S OF UNA AT RAMPUR BRIDGE,2.125,,,,,
"RIVER TLAWNG D/S, RIMAWI VENG, BAIRABI,KOLASIB DIST.",2.125,,,,,
"RIVER TAPI AT U/S, BHUSAWAL,VILLAGE. BHUSAWAL RAILWAY COLONY, TALUKA. BHUSAWAL, DISTRICT. JALGAON.",2.125,,,,,
RIVER SUTLEJ D/S BHAKHRA,2.125,,,,,
RIVER SIRSA U/S SITOMAJRI NALLAH,2.125,,,,,
"RIVER PUNPUN NEAR PATNA FATUHA ROAD BRIDGE, FATUHA",2.125,,,,,
RIVER NARMADA NEAR BHAIRAV TAMPLE AT SHHASTRADHARA MANDLA,2.125,,,,,
"RIVER NARMADA AT ZANOR (NTPC), BHARUCHRIVER NARMADA AT ZANOR (NTPC), BHARUCH",2.125,,,,,
"RIVER MUSI AT MOOSARAMBAGH BRIDGE, HYDERABAD",2.125,,,,,
RIVER KEN NEAR ROAD BRIDGE AT PANNA,2.125,,,,,
"RIVER KALINDI AT BAVALI, WAYANAD",2.125,,,,,
"RIVER GANGA U/S AT ABINDUGHAT, DUDHIYABAD, HARIDWAR",2.125,,,,,
"KRISHNA AT KRISHNA BRIDGE, KARAD",2.125,,,,,
KHARSANG BEFORE CONFLUENCE WITH BURIDIHING NEAR KHARSANG (ASSAM-ARUNANCHAL BORDER),2.125,,,,,
"GHATPRABHA AT W.A. POINT TO GOKAK TOWN,KARNATAKA",2.125,,,,,
"GELA BEEL AT DERGAON, ASSAM",2.125,,,,,
"CAUVERY AT TRICHY,GRAND ANAICUT, TAMILNADU",2.125,,,,,
"CAUVERY AT METTUR, TAMIL NADU",2.125,,,,,
"CAUVERY AT MAYILADUTHURAI, NAGAPATTINAM",2.125,,,,,
BOKARO AT JARANDI,2.125,,,,,
RIVER VAIGAI AT MADURAI U/S,2.116666667,,,,,
"RIVER SURBARNREKHA AT HATIA ROAD BRIDGE, RANCHI",2.116666667,,,,,
RIVER SALANDI AT BHADRAK U/S,2.116666667,,,,,
"RIVER KSHIPRA AT SIDDHAWAT (D/S) OF UJJAIN., M.P.",2.116666667,,,,,
"RIVER JHELUM AT SANGAM, CONFLUENCE POINT OF VISHAV NALLAH",2.116666667,,,,,
"MAHANADI AT U/S OF RAJIM, CHHATISGARH.",2.116666667,,,,,
MAHANADI AT SIHAWA,2.1125,,,,,
RIVER GANGA D/S NEAR JANTA GHAT,2.11,,,,,
"U/S SASAMUSA, GOPALGANJ",2.1,,,,,
SABARMATI AT HANSAOL BRIDGE,2.1,,,,,
SABARMATI AT AHMEDABAD AT V.N. BRIDGE,2.1,,,,,
"ROAD BRIDGE-DEHRI-ON-SONE, ROHTAS",2.1,,,,,
"RIVER YAMUNA AT ASGARPUR VILLAGE,(YAMUNA GHAT)U.P",2.1,,,,,
"RIVER WAINGANGA AT BAPERA, BHANDARA, (MAHARASHTRA)",2.1,,,,,
RIVER SUTLEJ D/S LANDFILL SITE RAMPUR,2.1,,,,,
RIVER SUBARNAREKHA AT BEHRAGORA (JHARKHAND),2.1,,,,,
RIVER SPITI AT KHAB,2.1,,,,,
"RIVER SIKRAHNA AT CHANPATIYA, EAST CHAMPARAN",2.1,,,,,
"RIVER SABARMATI AT KHEROJ BRIDGE, SABARKANTHA, AMBAJI HIGHWAY, KHEROJ, GUJARAT (RAJASTHAN AND GUJARAT)",2.1,,,,,
RIVER NARMADA AT SHAHASTRADHARA (JALKOTI),2.1,,,,,
RIVER NARMADA AT HOSHANGABAD 100 METER D/ S AFTER CONFLUENCE OF SPM NALLA M.P.,2.1,,,,,
"RIVER NARMADA AT BARMANGHAT, NARSINGHPUR M.P.",2.1,,,,,
RIVER MYNTDU AT LESHKA,2.1,,,,,
RIVER MAT RIVER,2.1,,,,,
"RIVER MANEY KHOLA AFTER CONFLUENCS WITH RAY KHOLA AT ADAMPOOL AFTER MEETING WASTE OF STP, GANGTOK",2.1,,,,,
RIVER MANER AT SOMNAPALLI,2.1,,,,,
"RIVER MAHI (D/S) CONF WITH R. CHAP (UNDER SAGWARA-SARHI RD. BDG.), RAJASTHAN",2.1,,,,,
"RIVER KOTHARI AT KOTHARI DAM, BHILWARA",2.1,,,,,
"RIVER KHARSANG B/C WITH BURIDIHING NEAR KHARSANG (ASSAM-ARUNANCHAL BORDER), ASSAM",2.1,,,,,
RIVER KHAROON AT BHATAGAON NEAR WATER SUPPLY INTAKEWELL RAIPUR,2.1,,,,,
"RIVER KAMALA AT KAMALA GHAT NEAR BARRAGE ATJAYNAGAR , MADHUBANI",2.1,,,,,
RIVER IRIL AT PORAMPET,2.1,,,,,
RIVER IB AT SUNDARGARH,2.1,,,,,
RIVER IB AT JHARSUGUDA (INTAKE),2.1,,,,,
RIVER HALDI AT NORGHAT,2.1,,,,,
"RIVER GODAVARI AT U/S OF AURANGABAD RESERVOIR, KAIGAON TOKKA NEAR KAIGAON BRIDGE,KAIGAON, GANGAPUR, AURANGABAD",2.1,,,,,
"RIVER GODAVARI AT RAJAHMUNDRY U/S, KUMARADEVAM (V), KOVVUR (M)",2.1,,,,,
"RIVER GODAVARI AT NANDUR-MADHMESHWAR DAM, VILLAGE- NANDUR, TALUKA- NIPHAD, DISTRICT- NASHIK.",2.1,,,,,
RIVER GIRNA AT JALGAON,2.1,,,,,
RIVER GHATAPRABHA DAVALSHWAR BARRAGE JACKWELL FOR DRINKING WATER SUPPLY,2.1,,,,,
"RIVER GANGAÂ NANAMAU GANGA BRIDGE, LUCKNOW MOHAN-HASANGANJ- RASULABAD MARG, KARTI AKBERPUR SENG",2.1,,,,,
RIVER GANGA B/CÂ TAMSA RIVER AT PRACHIN SHIVALAYA DUMDUMA GHAT,2.1,,,,,
"RIVER GANGA AT THE BALUGHAT, DORIGANJ, SARAN",2.1,,,,,
"RIVER GANGA AT SWARG ASHRAM ,RISHIKESH",2.1,,,,,
"RIVER GANGA AT MOKAMA (D/S), NEAR RAJENDRA BRIDGE , SIMIRIYA GHAT",2.1,,,,,
"RIVER GAMBHIRI NEAR BUS STAND (OLD CITY BRIDGE), CHITTORGARH,RAJASTHAN",2.1,,,,,
"RIVER GAI NADI, NEAR HSS LIKABALI (D/S)",2.1,,,,,
"RIVER CAUVERY D/S OF AT NELLU DIKERI BRIDGE, SIDDAPURA",2.1,,,,,
RIVER CAUVERY D/S AT KONDANAGIRI BRIDGE,2.1,,,,,
RIVER CAUVERY ATPARAMATHY VELORE TAMILNADU,2.1,,,,,
"RIVER CAUVERY AT SRI RANGAPATTANNA, D/S OF ROAD BDG.,",2.1,,,,,
RIVER CAUVERY AT RANGANATHITTU,2.1,,,,,
"RIVER CAUVERY AT PITCHAVARAM, TAMILNADU",2.1,,,,,
RIVER ASHWANI AT U/S YASHWANT NAGAR,2.1,,,,,
"PENGANGA NEAR WATER SUPPLY SCHEME OF UMARKHED MC BELKHED, UMARKHED, YAVATMAL",2.1,,,,,
"PAWANA RIVER AT SANGAVIGAON, HAWELI PUNE.",2.1,,,,,
"PAWANA AT RAVET WEIR, RAVET, HAWELI, PUNE",2.1,,,,,
"MUNERU B/C. WITH KRISHNA, NANDIGAMA",2.1,,,,,
MANU D/SAT KAILASHAHAR,2.1,,,,,
"KSHIPRA AT W/S INTAKE POINT OF DEWAS, UJJAIN",2.1,,,,,
"KHAROON AT RAIPUR U/S, CHHATISGARH.",2.1,,,,,
"KARAKAVAGU U/S AT PALONCHA, KHAMMAM",2.1,,,,,
"KALJANI DS OF ALIPURDWAR, MUNICIPALITY DISCHARGE POINT",2.1,,,,,
JHELUM AT CHATTABAL WEIR (OUTLET,2.1,,,,,
"GOMTI AT SITAPUR U/S AT WATER INTAKE, U.P.",2.1,,,,,
"DARNA AT MES SITE PUMPING STATION, BHAGUR, NASHIK.",2.1,,,,,
"CAUVERY AT SRI RANGAPATTANNA, D/S OF ROAD BDG.",2.1,,,,,
CAUVERY AT KRS DAM MANDYA,2.1,,,,,
"BRAHMPUTRA AT SUALKUCHI, DIST. KAMRUP",2.1,,,,,
BRAHMANI AT D/S PANPOSH AT DEOGAN,2.1,,,,,
"BRAHAMPUTRA RIVER AT BOGIBEEL BRIDGE, BOGIBEEL, DIGBOI",2.1,,,,,
"BHAVANI AT BHAVANI, TAMILNADU",2.1,,,,,
BHADRA D/S MALLESWARAM OF KIOCL,2.1,,,,,
BETWA BEFORE CONF. YAMUNA AT HAMIRPUR,2.1,,,,,
"BAGMATI RIVER AT MUZAFFARPUR SITAMARHI ROAD BRIDGE, SITAMARHI",2.1,,,,,
RIVER MAHANADI AT CUTTACK U/S,2.083333333,,,,,
RIVER LINGIRA D/S OF ANGUL,2.083333333,,,,,
RIVER KARO AT BADBIL,2.083333333,,,,,
RIVER BOKARO AT ZARANGDIH BRIDGE,2.083333333,,,,,
RIVER ADYAR NEAR BOAT CLUB,2.083333333,,,,,
"KALI BEIN FALLING INTO RIVER BEAS, PUNJAB",2.083333333,,,,,
BRAHMANI AT DHENKANAL U/s,2.083333333,,,,,
"SESAH STREAM, DINTHAR, SERCHHIP",2.075,,,,,
"SATLUJ AT 100M U/S OF HEADWORKS, NANGAL",2.075,,,,,
RIVER TUNGABHADRA AT HARIHAR WATER SUPPLY INTAKE,2.075,,,,,
RIVER SUTLEJ AT WANGTOO BRIDGE,2.075,,,,,
RIVER SUTLEJ AFTER CONFLUENCES WITH RIVER TIDONG,2.075,,,,,
"RIVER SABARMATI AT DHAROI DAM, DIST. MEHSANA.RIVER SABARMATI TA DHAROI DAM, TAL : SATALASANA, DIST : MEHSANA",2.075,,,,,
RIVER RUSHIKULYA AT GANJAM D/S (NEAR POTTAGARH PORT),2.075,,,,,
RIVER RAVI AT DAM-SITE AT THEIN,2.075,,,,,
"RIVER NONEY/IJEI AT NONEY BRIDGE, NONEY",2.075,,,,,
"RIVER NARMADA AT AMARKANTAK FROM ORIGIN POINT,",2.075,,,,,
RIVER MYNTDU JOWAI,2.075,,,,,
"RIVER MANUSMAR AT PARSHURAMPUR, RIGA - BELSAND ROAD, SITAMARHI",2.075,,,,,
"RIVER CAUVERY AT KUMBAKONAM, THANJAVUR,",2.075,,,,,
"RIVER BURHI GANDAK NEAR MAGARDAHI GHAT AT SAMASTIPUR ROAD BRIDGE, SAMASTIPUR",2.075,,,,,
RIVER BURALIA (NEAR BRIDGE ALONG NH-31) NALBARI,2.075,,,,,
"RIVER BHADRA AT D/S OF KIOCL ROAD BRIDGE, NEAR HOLEHUNNUR",2.075,,,,,
RIVER BERENG AT CHOWKHAM,2.075,,,,,
"PANCHAGANGA U/S OF KOLHAPUR TOWN, BALINGA, KARVIR, KOLHAPUR",2.075,,,,,
"MAHANADI AT CUTTACK U/S, ODISHA",2.075,,,,,
KHAN AT KABIT KHEDI (NEAR INDORE),2.075,,,,,
"BRAHMANI AT TALCHER U/S, ODISHA",2.075,,,,,
SHIMSHA AT WATER SUPPLY INTAKE POINT AT MADDUAR,2.066666667,,,,,
"RIVER TONS AT CHAKGHAT, M.P.",2.066666667,,,,,
RIVER BAITARNI AT CHANDBALI U/S,2.066666667,,,,,
KHARASROTA AT AUL,2.066666667,,,,,
BARAK RIVER AT D/S OF SILCHAR,2.066666667,,,,,
BANGURUSINGADA JHOR,2.066666667,,,,,
MANER AT SOMNAPALLI,2.06,,,,,
"YAMUNA AT SONIPAT, BAGHPAT ROAD(HARYANA)",2.05,,,,,
"WENA U/S OF MOHATA MILLS, NEAR RAILWAY BRIDGE, HINGANGHAT",2.05,,,,,
"VENNA AT MAHULI, SATARA",2.05,,,,,
"TUNGHABHADRA AT MANTHRALAYAM , KURNOOL",2.05,,,,,
"TUNGABHADRA AT MANTHRALAYAM, KURNOOL",2.05,,,,,
TONS RIVER AT SIRMAUR,2.05,,,,,
"TONS AT MADHAVGARH, NEAR PHED W/S INTAKE POINT, SATNA",2.05,,,,,
TAPI U/S SURAT KATHORE,2.05,,,,,
TAPI NEAR BARDOLI (KAPP BRIDGE) BARDOLI,2.05,,,,,
"SUTLEJ AT D/S HUSSANIWALA-H/W FEROZEPUR, PUNJAB",2.05,,,,,
SONE AT ORIGINE AMARKANTAK,2.05,,,,,
SINDH AT DUDERHAMA,2.05,,,,,
"SIKRANA AT LAURIA- NARKATIAGANJ ROAD BRIDGE, WEST CHAMPARAN",2.05,,,,,
"SIANG RIVER AT RANAGHAT, NEAR RCC BRIDGE, PASIGHAT",2.05,,,,,
"SHUKRA TAL GHAT (CONFLUENCE OF BANGANGA AND SALONI RIVER), MUZAFFARNAGAR,",2.05,,,,,
SEONATH AT SHIMGA A/C WITH R. KHAROON,2.05,,,,,
"RIVER YAMUNA AT U/S DAKPATHER, DEHRADUN",2.05,,,,,
"RIVER WARDHA AT RAJURA BRIDGE,RAJURA, CHANDRAPUR, CHANDRAPUR",2.05,,,,,
RIVER TUNGA U/S SHIVAMOGGA CITY,2.05,,,,,
"RIVER TUNGA AT D/S OF SHIMOGA TOWN,",2.05,,,,,
"RIVER TUIRIAL MID STREAM, TUIRIAL VILLAGE, U/S OF TUIRIAL BRIDGE",2.05,,,,,
"RIVER TUIPUI DARZOKAI RIVER, CHHIMTUIPUI, TUIPUI D VILLAGE",2.05,,,,,
RIVER TEESTA AFTER CONFLUENCS WITH RANICHU AT SINGTAM,2.05,,,,,
"RIVER TAPI AT AJNAD VILLAGE, VILLAGE.AJNAD , TALUKA. RAVER, DISTRICT.JALGAON.",2.05,,,,,
"RIVER SWARNREKHA NEAR OBERIA ROAD BRIDGE, HATIA RANCH",2.05,,,,,
RIVER SWARNREKHA AFTER CONFLUENCE OF KHARKAI RIVER,2.05,,,,,
RIVER SWAN BEFORE CONF. OF GARNI KHAD AT CHURURU,2.05,,,,,
RIVER SWAN AFTER CONF. GARNI KHAD AT CHURURU,2.05,,,,,
"RIVER SUVARANVATHI RESERVOIR, ATTIGULLIPURA CHAMARAJANAGAR",2.05,,,,,
RIVER SUTLEJ NEAR LUHNOO GROUND,2.05,,,,,
RIVER SUTLEJ D/S ACC BARMANA,2.05,,,,,
RIVER SUTLEJ BEFORE CONFLUENCES WITH RIVER TIDONG,2.05,,,,,
RIVER SUTLEJ BEFORE CONFLUENCES OF RIVER BASPA,2.05,,,,,
RIVER SUTLEJ BEFORE CONF. WITH RIVER SPITI AT KHAB,2.05,,,,,
RIVER SUTLEJ AT U/S SLAPPER,2.05,,,,,
RIVER SUTLEJ AFTER CONFLUENCE WITH GANVI KHAD,2.05,,,,,
RIVER SUTLEJ AFTER CONF. WITH RIVER SPIT AT KHAB,2.05,,,,,
"RIVER SONE AT ORIGIN AMARKANTAK, M.P",2.05,,,,,
RIVER SHIMSHA AT WATER SUPPLY INTAKE POINT AT SHIVANSAMUDRA,2.05,,,,,
"RIVER SHIMSHA AT D/S OF HIGHWAY BRIDGE, YEDIYAR,",2.05,,,,,
"RIVER SHIMSHA AT D/S OF BRIDGE, HALAGUR,",2.05,,,,,
"RIVER SERLUI STREAM, REIEK KAI, PHE WATER TREATMENT PLANT",2.05,,,,,
"RIVER RAVI AT LAKHANPUR, J and K",2.05,,,,,
"RIVER RAVI AT BAJU NALLAH AT KHOKHYAL NEAR BARAGE, CONFLUENCE POINT OF SAHARKHAD AND KATHUA CITY NALLAHS",2.05,,,,,
"RIVER RAVI AT BAJU NALLAH AT KHOKHYAL NEAR BARAGE, CONFLUENCE POINT OF SAHAR-KHAD AND KATHUA CITY NALLAHS",2.05,,,,,
RIVER RANICHU BEFORE CONFLUENCE WITH TEESTA AT SINGTAM,2.05,,,,,
RIVER RANGPO AT POWER HOUSE D/S OF GATI INFRA PVT. LTD.,2.05,,,,,
"RIVER RAMGANGA AT D/S SHERKOT, KALAGARH (U.P.)",2.05,,,,,
RIVER MARKANDA D/S KALA AMB/ BOUNDARY OF HARYANA,2.05,,,,,
RIVER MARKANDA AFTER CONFLUENCE OF RAMPUR JATTAN MOGINAND NALA,2.05,,,,,
"RIVER MANEY KHOLA A/C WITH RAY KHOLA AT ADAMPOOL AFTER MEETING WASTE OF STP, GANGTOK",2.05,,,,,
"RIVER MALPRABHA AT WATER ABSTR. PT. TO HUBLI, DHARWAR,",2.05,,,,,
"RIVER MALPRABHA AT BADAMI BRIDGE,",2.05,,,,,
RIVER MAHI (D/S) CONF WITH R. CHAP (UNDER SAGWARA- SARHI RD. BDG.),2.05,,,,,
RIVER LOCATED ON THE SOUTHERN BANK OF AMARAVATHI AND DOWNSTREAM SIDE OF KARUR DYEING CLUSTER,2.05,,,,,
RIVER LIDDER AT LARIPORA,2.05,,,,,
"RIVER LAKSHMANTIRTHA AT D/S OF HUNSUR TOWN,",2.05,,,,,
"RIVER LAHMUN RIVER, PHAIZAU, MAMIT",2.05,,,,,
"RIVER KRISHNA AT TINTINI BRIDGE,",2.05,,,,,
"RIVER KRISHNA AT THANGADI , MAHABOOBNAGAR DIST.",2.05,,,,,
"RIVER KRISHNA AT D/S OF DEVASAGAR BDG.,",2.05,,,,,
RIVER KOTHARI AT MEJA DAM BHILWARA (UPSTREAM OF KOTHARI RIVER),2.05,,,,,
"RIVER KANHAN U/S OF M/S VIDHARBHA PAPER MILL, SINORA, PARSEONI, NAGPUR",2.05,,,,,
"RIVER KAMALA (BIHAR) AT JEEWACH GHAT, DARBHANGA",2.05,,,,,
"RIVER JAWAI DAM, SIROHI, RAJASTHAN",2.05,,,,,
"RIVER GODAVARI AT RAHER, VILLAGE.RAHER, TALUKA. NAYAGAON, DISTRICT. NANDED.",2.05,,,,,
"RIVER GODAVARI AT NASIK D/S, GADGEBABA MAHARAJ NAGAR, NASHIK",2.05,,,,,
"RIVER GODAVARI AT NANDUR- MADMESHWAR DAM, NANDUR, NASHIK",2.05,,,,,
"RIVER GODAVARI AT LATUR WATER INTAKE NEAR PUMP HOUSE AT DHAMEGAON, KALUMB, OSMANABAD",2.05,,,,,
"RIVER GODAVARI AT KAPILA- GODAVARI CONFLUENCE POINT, TAPOVAN, NASHIK",2.05,,,,,
"RIVER GODAVARI AT HANUMAN GHAT, NASHIK CITY, NASHIK",2.05,,,,,
"RIVER GHATPRABHA AT D/S OF MUDHOL RD. CROSS BDG.,",2.05,,,,,
"RIVER GANGAÂ B/C GOMTI RIVER AT BALUA GHAT BRIDGE, VARANASI",2.05,,,,,
"RIVER GANGA NEAR VISTHAPHIT COLONY, RISHIKESH",2.05,,,,,
"RIVER GANGA AT RAJMAHAL, JHARKHAND",2.05,,,,,
"RIVER GANGA AT KANNAUJ D/S, U.P",2.05,,,,,
RIVER DIHING AT MIAO (U/S OF NOA DIHING),2.05,,,,,
"RIVER DEVAK ABOUT 10 KM D/S FROM SHIV MANDIR, BELOW RAILWAY BRIDGE, UDHAMPUR",2.05,,,,,
"RIVER DARNA AT BHAGUR PUMPING STATION NEAR PANDHURLI BRIDGE, BHAGUR, NASHIK",2.05,,,,,
"RIVER DARNA AT ASWALI (DARNA DAM), LGATPURI, NASHIK",2.05,,,,,
"RIVER DAKSHINA PINAKINI NEAR MUGALUR BRIDGE MUGALUR, BENGALURU",2.05,,,,,
"RIVER CONFLUENCE POINT OF SARSA NADI WITH WITH SUTLEJ, NR VILL ASPUR, ROOPNAGAR",2.05,,,,,
"RIVER CHANDRABHAGA AT U/S OF PANDHARPUR TOWN, VILLAGE. GURSALE, TALUKA. PANDHARPUR, DISTRICT. SOLAPUR.",2.05,,,,,
"RIVER CHANDRABHAGA AT D/S OF PANDHARPUR TOWN REAR VISHNUPANT MANDIR, VILLAGE. GOPALPUR, TALUKA. PANDHARPUR DISTRICT. SOLAPUR.",2.05,,,,,
RIVER CAUVERY BEFORE CONFLUENCE AT SANGAM,2.05,,,,,
"RIVER CAUVERY AT PETTAIVAITHALAI, TRICHY,",2.05,,,,,
"RIVER CAUVERY AT MOHANUR NEAR PATTAIPALAYAM,",2.05,,,,,
"RIVER CAUVERY AT COLEROON,",2.05,,,,,
"RIVER BURHI GANDAK AT KHAGARIA ROAD BRIDGE BEFORE CONFLUENCE WITH GANGA , KHAGARIA",2.05,,,,,
"RIVER BORI D/S OF AMALNER, JALGAON, JALGAON",2.05,,,,,
"RIVER BHAVANI AT U/S OF KALINGARAYAN CANAL (B5), ERODE,",2.05,,,,,
"RIVER BHAVANI AT D/S OF BHAVANISAGAR, SATHYAMANGALAM, ERODE,",2.05,,,,,
"RIVER BHAVANI AT BHAVANI,",2.05,,,,,
"RIVER BHAVANI AT BHAVANI SAGAR,",2.05,,,,,
"River BeeharÂ Khthuliya Intake Well Point ,Rewa",2.05,,,,,
RIVER BEAS AT KARMOWALA VILLAGE,2.05,,,,,
RIVER BEAS AT KAMBOH DAHIWALA,2.05,,,,,
"NIRA AT PULGAON COTTON MILL, WARDHA",2.05,,,,,
MOL KHAD D/S PALAMPU,2.05,,,,,
LIDDER AT CLUB PARK,2.05,,,,,
LIDDER AT BUS ADDA,2.05,,,,,
KRISHNA AT U/S OF UGARKHURD BARRAGE,2.05,,,,,
KHARSANG B/C/ WITH BURIDIHING NEAR KHARSANG (ASSAM-ARUNANCHAL BORDER),2.05,,,,,
"KHAROON BUNDRI, RAIPUR",2.05,,,,,
KAMLA RIVER AT JAYNAGAR,2.05,,,,,
"KALIASOT NEAR ROAD BRIDGE, MANDIDEEP",2.05,,,,,
"JHELUM RIVER AT SOPORE, CONFLUENCE POINT OF WULAR LAKE",2.05,,,,,
JHELUM AT VERINAG,2.05,,,,,
"JHELUM AT SANGAM, CONFLUENCE POINT OF VISHAV NALLAH",2.05,,,,,
JHELAM D/S ANANTNAG,2.05,,,,,
"HARHA RIVER AT BAGHA, LAURIYA ROAD BRIDGE",2.05,,,,,
HALDI RIVER AT NORGHAT,2.05,,,,,
"GOHAD DAM, GOHAD",2.05,,,,,
"GODAVARI RIVER AT U/S OF AURANGABAD RESERVOIR, KAIGAON TOKKA NEAR KAIGAON BRIDGE",2.05,,,,,
"GODAVARI RIVER AT KAPILA- GODAVARI CONFL. PT, TAPOVAN.",2.05,,,,,
"GODAVARI D/S RAMAGUNDAM, NEAR FCI INTAKE WELL, KARIMNAGAR",2.05,,,,,
"GAUTAMI-GODAVARI RIVER NEAR ADAVIPOLAM, YANAM, U.T OF PUDUCHERRY.",2.05,,,,,
GANGA U/S KANNAUJ (RAJGHAT),2.05,,,,,
"GANGA RIVER AT CHANDRAPUR, ITANAGAR",2.05,,,,,
"GAI NADI/ RIVER AT SOMARAJAN, DHEMAJI",2.05,,,,,
DIKRONG RIVER AT NIRJULI,2.05,,,,,
DHANSIRI NEAR CHECK GATE (DIMAPUR KHUTKHUTI ROAD),2.05,,,,,
"DEVAK UDHAMPUR(NEAR SHIV MANDIR), L.H.S.",2.05,,,,,
"DENWA NEAR SARNI, RD BDG",2.05,,,,,
"CORINGA RIVER (TIDAL LOCK) LE CAFE RESTAURANT, YANAM, U.T OF PUDUCHERRY",2.05,,,,,
CHUNT KOL (MAULANA AZAD BDG),2.05,,,,,
"CHOTA TAWA B/C, WITH NARMADA",2.05,,,,,
"CHENAB, L.H.S. (BELOW BRIDGE CHENAB)",2.05,,,,,
"CHENAB, JAI PATAN MANDIR AFTER MEETING WITH MAIN DRAIN OF AKHNOOR CITY",2.05,,,,,
CAUVERY AT ERODE NEAR CHIRAPALAYAM,2.05,,,,,
BURADIA RIVER (NEAR BRIDGE ALONG NH31) NALBARI,2.05,,,,,
"BINDUSARA AT BEED NR INTAKE WATER PUMP HOUSE AT DAM, PALIGAON, BEED",2.05,,,,,
BIHAR D/S NEAR FOREST OFFICE,2.05,,,,,
"BHIMA AT D/S OF BDG. NEAR YADGIR,KARNATAKA",2.05,,,,,
"BHANWAR SEMLA DAM NEAR VILLAGE- DHOPAL,PRATAPGARH",2.05,,,,,
"BHAGIRATHI AT GANGOTRI, UTTAR PRADESH",2.05,,,,,
"BEAS AT 1KM.D/S OF EFFL. DISH. POINT AT MUKERIAN , PUNJAB",2.05,,,,,
BARAGRAM NALLAH BEFORE CONFLUENCE TO RIVER BEAS,2.05,,,,,
ASHWANI KHAD U/S OF YASHWANT NAGAR BEFORE CONF. WITH RIVER GIRI AT YASHWANT NAGAR,2.05,,,,,
"ARASALAR RIVER, VIZHUTHIYUR ROAD, ODUDHURAI, KARAIKAL, U.T OF PUDUCHERRY.",2.05,,,,,
ALHI RIVER-NOG(NEAR WATER SUPPLY SCHEME INTAKE) TRIUTARY OF RIVER SUTLEJ,2.05,,,,,
RIVER GANGA AT SANGI DALAN,2.04,,,,,
FARMAR AT JOGBANI,2.04,,,,,
TUNGABHADRA AT NEW BRIDGE,2.033333333,,,,,
RIVER MAHANADI AT SAMBALPUR D/S,2.033333333,,,,,
RIVER MAHANADI AT NARSINGHPUR,2.033333333,,,,,
RIVER DAMODAR AT DISHERGARH (WEST BENGAL),2.033333333,,,,,
"RIVER CAUVERY AT TIRUCHIRAPPALLI D/S, TAMILNADU",2.033333333,,,,,
RIVER BARAKAR AT MAITHAN DAM,2.033333333,,,,,
BRAHMANI AT MANDAPAL,2.033333333,,,,,
"BRAHAMNI AT DHENKANAL D/S, DHENKANAL TOWN",2.033333333,,,,,
"BEAS D/S PATHANKOT, PUNJAB",2.033333333,,,,,
RIVER SUTLEJ AT ANANDPUR SAHIB,2.03,,,,,
"WENA AT D/S OF MOHATA MILLS, RD BRG ON HINGANGHAT-WADNER RD",2.025,,,,,
"SIRSA AT U/S SITOMAJRI NALLAHGARH, H.P",2.025,,,,,
"SAIKAH STREAM, LAWNGTLAI",2.025,,,,,
RIVER TUNGABHADRA AT MANTHRALAYAM (V and M),2.025,,,,,
RIVER RONGLI U/S DAM SITE,2.025,,,,,
RIVER RANGPO U/S DAM SITE,2.025,,,,,
"RIVER PENNAR B/C WITH CHITRAVATHI, TADIPATRI (M), VENGANUR (V)",2.025,,,,,
"RIVER KARIYARI,D/S, NEAR M/S J.P. CEMENT,VILL.NAUBASTA, REWA",2.025,,,,,
"RIVER GANGA U/S AT LAXMANJHULA,RISHIKESH",2.025,,,,,
"RIVER GANGA D/S CREMINATION GHAT AT SULTANGANJ, BHAGALPUR",2.025,,,,,
"RIVER DHOS AT SAHARGHAT, MADHUBANI",2.025,,,,,
RIVER DAMODAR AT RAMGARH ROAD BRIDGE,2.025,,,,,
"RIVER DAHA AT MEERGANJ NEAR BADARJHIMMI BAZAR, GOPALGANJ",2.025,,,,,
"RIVER CHAMBAL AT KOTA U/S (PHED INTAKE POINT. NEAR KOTA BARRAGE), RAJASTHAN",2.025,,,,,
"RIVER BRAHMPUTRA NEAR WATER INTAKE POINT AT KACHARIGHAT, PANBAZAR, GUWAHATI, ASSAM",2.025,,,,,
"KRISHNA A/c WITH TUNGABHADRA, SANGAMESHWARAM",2.025,,,,,
"KALI SINDH AT BAROD ROAD BRIDGE, KOTA",2.025,,,,,
"JHELAM AT DALAGATE (INLET), SRINAGAR",2.025,,,,,
"HIRAN, NH 7 ROAD BRIDGE, SIHORA, DIST JABALPUR",2.025,,,,,
"BETWA NEAR INTAKE POINT, VIDISHA, M.P",2.025,,,,,
RIVER SINDH AT WAIL BRIDGE,2.016666667,,,,,
RIVER MAHANADI AT MUNDALI (WATER INTAKE POINT OF BHUBANESWAR CITY),2.016666667,,,,,
"RIVER DAMODAR NEAR BERMO RAILWAY STATION, BOKARO",2.016666667,,,,,
RIVER DAMODAR AT DOMGARH WATER WORKS D/S SINDRI,2.016666667,,,,,
RIVER CHENAB AT CHADRA GAON VIEW POINT(4 KM U/S FROM SPOT),2.016666667,,,,,
"RIVER BORSILA AT BORSILA, DEOPANI, NAMTI",2.016666667,,,,,
"NARMADA AT CHANDOD,",2.016666667,,,,,
"KRISHNA AT D/S OF ALAMATTI DAM,",2.016666667,,,,,
"RIVER KUNDU, NANDYAL, NEAR OVER BDG., KURNOOL",2.014285714,,,,,
